City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,antsiranana,-12.2787,49.2917,25.42,83,40,3.09,MG,1698378110
296,at taj,24.2049,23.2857,20.93,34,99,2.85,LY,1698378110
297,wilmington island,32.0036,-80.9737,22.05,87,75,0.0,US,1698378110
298,webster city,42.4694,-93.816,18.81,100,100,3.09,US,1698378110
299,cannonvale,-20.2833,148.7,26.66,58,3,6.35,AU,1698378110
300,palikir - national government center,6.9248,158.1611,28.41,84,100,1.54,FM,1698378011
301,al bawiti,28.3492,28.8659,21.27,68,86,2.21,EG,1698378110
302,hassi messaoud,31.6804,6.0729,16.92,42,0,1.54,DZ,1698378110
303,sinop,41.7711,34.8709,16.98,52,100,3.4,TR,1698378111
304,lazaro cardenas,17.9583,-102.2,25.61,88,63,2.36,MX,1698377996
305,opuwo,-18.0607,13.84,20.64,38,87,1.27,NA,1698378111
306,terbanggi besar,-4.8667,105.2333,34.16,40,86,3.54,ID,1698378111
307,weifang,36.71,119.1019,22.78,17,0,2.21,CN,1698378111
308,salamanca,40.8333,-6.0,8.88,80,97,6.38,ES,1698378111
309,anguera,-12.151,-39.2453,22.04,87,88,0.84,BR,1698378111
310,veinticinco de mayo,-35.4323,-60.1727,16.1,75,36,0.89,AR,1698378111
311,portland,45.5234,-122.6762,7.83,93,75,0.89,US,1698377906
312,kalamata,37.0389,22.1142,20.62,79,20,1.34,GR,1698378112
313,mar del plata,-38.0023,-57.5575,16.72,69,0,2.57,AR,1698378059
314,sitka,57.0531,-135.33,4.94,60,0,1.54,US,1698378112
315,basco,20.4487,121.9702,27.54,63,15,4.61,PH,1698378112
316,ulladulla,-35.35,150.4667,15.43,80,99,4.37,AU,1698378112
317,akrehamn,59.2667,5.1833,4.12,80,6,3.6,NO,1698378112
318,margate,51.3813,1.3862,10.94,94,82,3.29,GB,1698378112
319,kruisfontein,-34.0033,24.7314,14.46,68,31,4.6,ZA,1698378112
320,socorro,31.6546,-106.3033,21.38,43,0,3.6,US,1698378112
321,graham,47.0529,-122.2943,7.4,87,0,0.0,US,1698378113
322,itoman,26.1247,127.6694,28.43,49,20,6.17,JP,1698378113
323,yantzaza,-3.8278,-78.7594,20.0,98,100,0.86,EC,1698378113
324,yarmouth,41.7057,-70.2286,17.77,85,0,2.57,US,1698378113
325,rio grande,-32.035,-52.0986,9.97,76,0,3.12,BR,1698378046
326,mahina,-17.5065,-149.489,25.42,88,75,5.66,PF,1698378113
327,nago,26.5881,127.9761,28.47,49,63,4.63,JP,1698378113
328,ola,59.5833,151.2833,-2.14,61,100,1.5,RU,1698378113
329,tolanaro,-25.0319,46.9987,20.04,88,40,0.0,MG,1698378019
330,filingue,14.3521,3.3168,27.36,13,100,2.23,NE,1698378114
331,san jose del guaviare,2.5729,-72.6459,23.52,95,100,1.02,CO,1698378114
332,sesimbra,38.4445,-9.1015,16.81,70,100,5.9,PT,1698378114
333,inongo,-1.95,18.2667,20.99,94,100,1.24,CD,1698378114
334,midvagur,62.0511,-7.1939,8.46,76,100,10.29,FO,1698378114
335,kariba,-16.5167,28.8,24.21,61,0,2.32,ZW,1698378114
336,luderitz,-26.6481,15.1594,14.89,78,1,6.97,NA,1698378114
337,poronaysk,49.2167,143.1167,9.42,62,84,3.05,RU,1698378115
338,young,-32.6833,-57.6333,11.83,77,0,2.87,UY,1698378115
339,saynshand,44.8824,110.1163,14.24,17,5,5.0,MN,1698378115
340,karaton,-6.3424,106.1045,32.6,51,97,0.7,ID,1698378115
341,malango,-2.9627,119.9001,30.84,25,2,2.73,ID,1698378115
342,celestun,20.8667,-90.4,26.37,75,41,6.32,MX,1698378115
343,bengkulu,-3.8004,102.2655,29.16,64,22,4.49,ID,1698378115
344,albardon,-31.4372,-68.5256,21.48,50,95,7.23,AR,1698378116
345,mabaruma,8.2,-59.7833,23.89,98,65,1.24,GY,1698378116
346,namibe,-15.1961,12.1522,19.35,81,97,3.64,AO,1698378116
347,vidin,43.99,22.8725,19.03,59,100,4.0,BG,1698378116
348,saldanha,-33.0117,17.9442,14.03,91,100,0.39,ZA,1698378116
349,kangding,30.0513,101.9603,10.1,92,92,0.95,CN,1698378116
350,bornos,36.8168,-5.7445,16.57,84,100,0.45,ES,1698378116
351,arteaga,18.4667,-102.4167,18.24,97,83,0.74,MX,1698378116
352,villamontes,-21.25,-63.5,19.1,95,100,1.09,BO,1698378116
353,moyynkum,44.2914,72.9469,9.11,50,100,0.29,KZ,1698378117
354,juba,4.8517,31.5825,21.96,87,96,1.03,SS,1698378006
355,hampton,37.0299,-76.3452,18.9,83,0,3.09,US,1698377826
356,mili,6.0815,171.735,27.9,78,98,5.23,MH,1698378117
357,ciudad lazaro cardenas,17.9583,-102.2,25.61,88,63,2.36,MX,1698378117
358,uvalde,29.3669,-99.767,25.63,79,66,3.6,US,1698378117
359,chibougamau,49.9168,-74.3659,1.79,93,100,5.66,CA,1698378013
360,lerwick,60.1545,-1.1494,8.0,73,100,6.26,GB,1698378054
361,niafunke,15.9322,-3.9906,27.78,13,68,3.07,ML,1698378118
362,sindirgi,39.2413,28.1784,10.19,63,39,3.48,TR,1698378118
